Filename,Optimal Unroll Factor
s12_2048_2_2_short_a_result.c,32
s12_2048_2_4_in_assign.c,16
s12_2048_2_4_in_ia.c,16
s12_2048_2_4_in_out.c,16
s12_2048_2_4_input_assign.c,16
s12_2048_2_4_input_ia.c,16
s12_2048_2_4_input_out.c,16
s12_2048_2_4_input_result.c,16
s12_2048_2_4_in_result.c,16
s12_2048_2_4_sa_assign.c,16
s12_2048_2_4_sa_ia.c,16
s12_2048_2_4_sa_out.c,16
s12_2048_2_4_sa_result.c,16
s12_2048_2_4_short_a_assign.c,16
s12_2048_2_4_short_a_ia.c,8
s12_2048_2_4_short_a_out.c,16
s12_2048_2_4_short_a_result.c,16
s12_2048_2_in_assign.c,64
s12_2048_2_in_ia.c,32
s12_2048_2_in_out.c,128
s12_2048_2_input_assign.c,16
s12_2048_2_input_ia.c,16
s12_2048_2_input_out.c,16
s12_2048_2_input_result.c,32
s12_2048_2_in_result.c,16
s12_2048_2_sa_assign.c,64
s12_2048_2_sa_ia.c,64
s12_2048_2_sa_out.c,4
s12_2048_2_sa_result.c,32
s12_2048_2_short_a_assign.c,32
s12_2048_2_short_a_ia.c,32
s12_2048_2_short_a_out.c,128
s12_2048_2_short_a_result.c,8
s12_2048_in_assign.c,64
s12_2048_in_ia.c,64
s12_2048_in_out.c,64
s12_2048_input_assign.c,64
s12_2048_input_ia.c,64
s12_2048_input_out.c,64
s12_2048_input_result.c,64
s12_2048_in_result.c,64
s12_2048_sa_assign.c,64
s12_2048_sa_ia.c,64
s12_2048_sa_out.c,64
s12_2048_sa_result.c,64
s12_2048_short_a_assign.c,64
s12_2048_short_a_ia.c,64
s12_2048_short_a_out.c,64
s12_2048_short_a_result.c,64
s12_256_2_2_in_assign.c,64
s12_256_2_2_in_ia.c,64
s12_256_2_2_in_out.c,64
s12_256_2_2_input_assign.c,64
s12_256_2_2_input_ia.c,32
s12_256_2_2_input_out.c,64
s12_256_2_2_input_result.c,64
s12_256_2_2_in_result.c,64
s12_256_2_2_sa_assign.c,64
s12_256_2_2_sa_ia.c,64
s12_256_2_2_sa_out.c,128
s12_256_2_2_sa_result.c,64
s12_256_2_2_short_a_assign.c,64
s12_256_2_2_short_a_ia.c,128
s12_256_2_2_short_a_out.c,64
s12_256_2_2_short_a_result.c,128
s12_256_2_4_in_assign.c,32
s12_256_2_4_in_ia.c,16
s12_256_2_4_in_out.c,64
s12_256_2_4_input_assign.c,64
s12_256_2_4_input_ia.c,128
s12_256_2_4_input_out.c,64
s12_256_2_4_input_result.c,64
s12_256_2_4_in_result.c,64
s12_256_2_4_sa_assign.c,32
s12_256_2_4_sa_ia.c,64
s12_256_2_4_sa_out.c,64
s12_256_2_4_sa_result.c,32
s12_256_2_4_short_a_assign.c,32
s12_256_2_4_short_a_ia.c,32
s12_256_2_4_short_a_out.c,32
s12_256_2_4_short_a_result.c,64
s12_256_2_in_assign.c,128
s12_256_2_in_ia.c,8
s12_256_2_in_out.c,4
s12_256_2_input_assign.c,4
s12_256_2_input_ia.c,4
s12_256_2_input_out.c,16
s12_256_2_input_result.c,8
s12_256_2_in_result.c,4
s12_256_2_sa_assign.c,16
s12_256_2_sa_ia.c,4
s12_256_2_sa_out.c,8
s12_256_2_sa_result.c,8
s12_256_2_short_a_assign.c,64
s12_256_2_short_a_ia.c,32
s12_256_2_short_a_out.c,4
s12_256_2_short_a_result.c,16
s12_256_in_assign.c,128
s12_256_in_ia.c,64
s12_256_in_out.c,128
s12_256_input_assign.c,64
s12_256_input_ia.c,128
s12_256_input_out.c,128
s12_256_input_result.c,64
s12_256_in_result.c,64
s12_256_sa_assign.c,128
s12_256_sa_ia.c,64
s12_256_sa_out.c,64
s12_256_sa_result.c,128
s12_256_short_a_assign.c,64
s12_256_short_a_ia.c,128
s12_256_short_a_out.c,64
s12_256_short_a_result.c,64
s12_4096_2_2_in_assign.c,32
s12_4096_2_2_in_ia.c,32
s12_4096_2_2_in_out.c,32
s12_4096_2_2_input_assign.c,32
s12_4096_2_2_input_ia.c,32
s12_4096_2_2_input_out.c,32
s12_4096_2_2_input_result.c,32
s12_4096_2_2_in_result.c,32
s12_4096_2_2_sa_assign.c,32
s12_4096_2_2_sa_ia.c,32
s12_4096_2_2_sa_out.c,32
s12_4096_2_2_sa_result.c,32
s12_4096_2_2_short_a_assign.c,32
s12_4096_2_2_short_a_ia.c,32
s12_4096_2_2_short_a_out.c,32
s12_4096_2_2_short_a_result.c,16
s12_4096_2_4_in_assign.c,16
s12_4096_2_4_in_ia.c,16
s12_4096_2_4_in_out.c,16
s12_4096_2_4_input_assign.c,16
s12_4096_2_4_input_ia.c,16
s12_4096_2_4_input_out.c,16
s12_4096_2_4_input_result.c,16
s12_4096_2_4_in_result.c,16
s12_4096_2_4_sa_assign.c,16
s12_4096_2_4_sa_ia.c,16
s12_4096_2_4_sa_out.c,16
s12_4096_2_4_sa_result.c,16
s12_4096_2_4_short_a_assign.c,16
s12_4096_2_4_short_a_ia.c,16
s12_4096_2_4_short_a_out.c,16
s12_4096_2_4_short_a_result.c,16
s12_4096_2_in_assign.c,8
s12_4096_2_in_ia.c,16
s12_4096_2_in_out.c,8
s12_4096_2_input_assign.c,8
s12_4096_2_input_ia.c,64
s12_4096_2_input_out.c,4
s12_4096_2_input_result.c,64
s12_4096_2_in_result.c,32
s12_4096_2_sa_assign.c,32
s12_4096_2_sa_ia.c,8
s12_4096_2_sa_out.c,32
s12_4096_2_sa_result.c,32
s12_4096_2_short_a_assign.c,64
s12_4096_2_short_a_ia.c,64
s12_4096_2_short_a_out.c,8
s12_4096_2_short_a_result.c,32
s12_4096_in_assign.c,64
s12_4096_in_ia.c,64
s12_4096_in_out.c,64
s12_4096_input_assign.c,64
s12_4096_input_ia.c,64
s12_4096_input_out.c,64
s12_4096_input_result.c,64
s12_4096_in_result.c,64
s12_4096_sa_assign.c,64
s12_4096_sa_ia.c,64
s12_4096_sa_out.c,64
s12_4096_sa_result.c,64
s12_4096_short_a_assign.c,64
s12_4096_short_a_ia.c,64
s12_4096_short_a_out.c,64
s12_4096_short_a_result.c,64
s12_512_2_2_in_assign.c,64
s12_512_2_2_in_ia.c,32
s12_512_2_2_in_out.c,32
s12_512_2_2_input_assign.c,32
s12_512_2_2_input_ia.c,64
s12_512_2_2_input_out.c,64
s12_512_2_2_input_result.c,64
s12_512_2_2_in_result.c,32
s12_512_2_2_sa_assign.c,64
s12_512_2_2_sa_ia.c,64
s12_512_2_2_sa_out.c,64
s12_512_2_2_sa_result.c,32
s12_512_2_2_short_a_assign.c,64
s12_512_2_2_short_a_ia.c,64
s12_512_2_2_short_a_out.c,64
s12_512_2_2_short_a_result.c,64
s12_512_2_4_in_assign.c,64
s12_512_2_4_in_ia.c,32
s12_512_2_4_in_out.c,32
s12_512_2_4_input_assign.c,32
s12_512_2_4_input_ia.c,32
s12_512_2_4_input_out.c,32
s12_512_2_4_input_result.c,32
s12_512_2_4_in_result.c,32
s12_512_2_4_sa_assign.c,32
s12_512_2_4_sa_ia.c,32
s12_512_2_4_sa_out.c,16
s12_512_2_4_sa_result.c,32
s12_512_2_4_short_a_assign.c,32
s12_512_2_4_short_a_ia.c,16
s12_512_2_4_short_a_out.c,32
s12_512_2_4_short_a_result.c,32
s12_512_2_in_assign.c,32
s12_512_2_in_ia.c,16
s12_512_2_in_out.c,32
s12_512_2_input_assign.c,4
s12_512_2_input_ia.c,16
s12_512_2_input_out.c,4
s12_512_2_input_result.c,32
s12_512_2_in_result.c,8
s12_512_2_sa_assign.c,16
s12_512_2_sa_ia.c,64
s12_512_2_sa_out.c,4
s12_512_2_sa_result.c,16
s12_512_2_short_a_assign.c,4
s12_512_2_short_a_ia.c,8
s12_512_2_short_a_out.c,8
s12_512_2_short_a_result.c,32
s12_512_in_assign.c,64
s12_512_in_ia.c,64
s12_512_in_out.c,64
s12_512_input_assign.c,64
s12_512_input_ia.c,64
s12_512_input_out.c,64
s12_512_input_result.c,64
s12_512_in_result.c,64
s12_512_sa_assign.c,64
s12_512_sa_ia.c,64
s12_512_sa_out.c,64
s12_512_sa_result.c,64
s12_512_short_a_assign.c,32
s12_512_short_a_ia.c,64
s12_512_short_a_out.c,64
s12_512_short_a_result.c,64
s1_256_add_0.c,64
s1_256_add_1.c,64
s1_256_add_2.c,64
s1_256_add_3.c,64
s1_256_add_4.c,64
s1_256_add_5.c,64
s1_256_mul_0.c,4
s1_256_mul_1.c,4
s1_256_mul_2.c,1
s1_256_mul_3.c,16
s1_256_mul_4.c,1
s1_256_mul_5.c,4
s1_256_sub_0.c,64
s1_256_sub_1.c,128
s1_256_sub_2.c,128
s1_256_sub_3.c,128
s1_256_sub_4.c,64
s1_256_sub_5.c,64
s12_64_2_2_in_assign.c,128
s12_64_2_2_in_ia.c,64
s12_64_2_2_in_out.c,64
s12_64_2_2_input_assign.c,64
s12_64_2_2_input_ia.c,128
s12_64_2_2_input_out.c,64
s12_64_2_2_input_result.c,64
s12_64_2_2_in_result.c,64
s12_64_2_2_sa_assign.c,32
s12_64_2_2_sa_ia.c,32
s12_64_2_2_sa_out.c,64
s12_64_2_2_sa_result.c,64
s12_64_2_2_short_a_assign.c,64
s12_64_2_2_short_a_ia.c,32
s12_64_2_2_short_a_out.c,64
s12_64_2_2_short_a_result.c,32
s12_64_2_4_in_assign.c,64
s12_64_2_4_in_ia.c,64
s12_64_2_4_in_out.c,64
s12_64_2_4_input_assign.c,64
s12_64_2_4_input_ia.c,64
s12_64_2_4_input_out.c,64
s12_64_2_4_input_result.c,16
s12_64_2_4_in_result.c,16
s12_64_2_4_sa_assign.c,64
s12_64_2_4_sa_ia.c,16
s12_64_2_4_sa_out.c,32
s12_64_2_4_sa_result.c,64
s12_64_2_4_short_a_assign.c,32
s12_64_2_4_short_a_ia.c,32
s12_64_2_4_short_a_out.c,16
s12_64_2_4_short_a_result.c,64
s12_64_2_in_assign.c,16
s12_64_2_in_ia.c,32
s12_64_2_in_out.c,64
s12_64_2_input_assign.c,32
s12_64_2_input_ia.c,16
s12_64_2_input_out.c,4
s12_64_2_input_result.c,16
